央视频道,#genre#
CCTV1高清,http://172.16.0.200:4022/udp/239.93.20.133:9260    
CCTV2高清,http://172.16.0.200:4022/udp/239.93.20.60:8354
CCTV3高清,http://172.16.0.200:4022/udp/239.93.20.141:9320
CCTV4高清,http://172.16.0.200:4022/udp/239.93.21.186:7728
CCTV5高清,http://172.16.0.200:4022/udp/239.93.20.143:9332
CCTV6高清,http://172.16.0.200:4022/udp/239.93.20.144:9338
CCTV7高清,http://172.16.0.200:4022/udp/239.93.20.64:8378
CCTV8高清,http://172.16.0.200:4022/udp/239.93.20.145:9344
CCTV9高清,http://172.16.0.200:4022/udp/239.93.20.61:8360
CCTV10高清,http://172.16.0.200:4022/udp/239.93.20.65:8384
CCTV11高清,http://172.16.0.200:4022/udp/239.93.20.129:7914
CCTV12高清,http://172.16.0.200:4022/udp/239.93.20.68:8402
CCTV13(外网),http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14高清,http://172.16.0.200:4022/udp/239.93.20.69:8408
CCTV15高清,http://172.16.0.200:4022/udp/239.93.20.131:7918
CCTV17高清,http://172.16.0.200:4022/udp/239.93.20.154:7832
四川频道,#genre#
四川卫视高清,http://172.16.0.200:4022/udp/239.93.20.107:8636
SCTV经济高清,http://172.16.0.200:4022/udp/239.93.20.71:8420
SCTV文旅高清,http://172.16.0.200:4022/udp/239.93.20.41:8240
SCTV新闻高清,http://172.16.0.200:4022/udp/239.93.21.179:7720
SCTV影视高清,http://172.16.0.200:4022/udp/239.93.20.188:9600
SCTV7高清,http://172.16.0.200:4022/udp/239.93.21.87:7348
四川乡村频道高清,http://172.16.0.200:4022/udp/239.93.20.97:7820
康巴卫视高清,http://172.16.0.200:4022/udp/239.93.20.212:8344
广安公共,http://172.16.0.200:4022/udp/239.93.20.37:8216
广安新闻,http://172.16.0.200:4022/udp/239.93.20.38:8222
中国交通·四川,http://172.16.0.200:4022/udp/239.93.21.174:7760
睛彩四川,http://172.16.0.200:4022/udp/239.93.21.40:7140
成都大运高清,http://172.16.0.200:4022/udp/239.93.20.254:9462
大爱四川高清,http://172.16.0.200:4022/udp/239.93.20.184:9576
峨眉电影,http://172.16.0.200:4022/udp/239.93.20.1:8824
各省卫视,#genre#
四川卫视高清,http://172.16.0.200:4022/udp/239.93.20.107:8636
湖南卫视高清,http://172.16.0.200:4022/udp/239.93.20.193:9630
江苏卫视高清,http://172.16.0.200:4022/udp/239.93.20.194:9636
浙江卫视高清,http://172.16.0.200:4022/udp/239.93.20.215:9762
东方卫视高清,http://172.16.0.200:4022/udp/239.93.20.216:9768
北京卫视高清,http://172.16.0.200:4022/udp/239.93.20.137:9296
深圳卫视高清,http://172.16.0.200:4022/udp/239.93.20.139:9308
广东卫视高清,http://172.16.0.200:4022/udp/239.93.20.132:9254
天津卫视高清,http://172.16.0.200:4022/udp/239.93.20.125:8750
山东卫视高清,http://172.16.0.200:4022/udp/239.93.20.126:8756
江西卫视高清,http://172.16.0.200:4022/udp/239.93.21.214:7748
东南卫视高清,http://172.16.0.200:4022/udp/239.93.21.89:7356
黑龙江卫视高清,http://172.16.0.200:4022/udp/239.93.20.140:9314
重庆卫视高清,http://172.16.0.200:4022/udp/239.93.20.7:8024
贵州卫视高清,http://172.16.0.200:4022/udp/239.93.21.201:7744
湖北卫视高清,http://172.16.0.200:4022/udp/239.93.20.127:8762
安徽卫视高清,http://172.16.0.200:4022/udp/239.93.21.190:7974
